"";"id";"Country";"iso3";"Region";"Date";"Measure_L1";"Measure_L2";"Measure_L3";"Measure_L4";"Comment";"Source"
"3107";3108;"Taiwan";"TWN";"Taiwan";"05/01/2020";"Risk communication";"Educate and actively communicate with the public";"Encourage hand hygiene";"";"";"https://www.cdc.gov.tw/Category/Page/vleOMKqwuEbIMgqaTeXG8A"
"3108";3109;"Taiwan";"TWN";"Taiwan";"18/02/2020";"Risk communication";"Educate and actively communicate with the public";"Promote the 2m distance";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3109";3110;"Taiwan";"TWN";"Taiwan";"05/01/2020";"Risk communication";"Educate and actively communicate with the public";"Respiratory etiquette";"Do not touch eyes/nose/mouth";"";"https://www.cdc.gov.tw/Category/Page/vleOMKqwuEbIMgqaTeXG8A"
"3110";3111;"Taiwan";"TWN";"Taiwan";"05/01/2020";"Risk communication";"Educate and actively communicate with the public";"Respiratory etiquette";"Sneeze/cough in the elbow";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3111";3112;"Taiwan";"TWN";"Taiwan";"05/03/2020";"Risk communication";"Educate and actively communicate with the public";"Respiratory etiquette";"Promote the use of face mask";"increases in number of face masks that can be bought per week per person";"https://www.cdc.gov.tw/En/Bulletin/List/7tUXjTBf6paRvrhEl-mrPg?page=4"
"3112";3113;"Taiwan";"TWN";"Taiwan";"24/02/2020";"Risk communication";"Educate and actively communicate with the public";"Warning against travel to and return from risk areas";"Self-health management after returning from countries with level 1 and 2 warning";"""Travelers arriving from countries under Level 1 and Level 2 travel warning subject to 14-day self-health management""";"https://www.cdc.gov.tw/En/Bulletin/Detail/JuK7-wf7W5nhIe5HsqqeBQ?typeid=158"
"3113";3114;"Taiwan";"TWN";"Taiwan";"21/03/2020";"Risk communication";"Educate and actively communicate with the public";"Warning against travel to and return from risk areas";"all countries raised at level 3 Travel warning, 14 days home quarantine upon arrival in Taiwan";"";"https://www.cdc.gov.tw/En/Bulletin/List/7tUXjTBf6paRvrhEl-mrPg?page=18"
"3114";3115;"Taiwan";"TWN";"Taiwan";"20/01/2020";"Healthcare and public health capacity";"Enhance emergency response mechanisms";"Set up crisis units";"Central Epidemic Command Center activated";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3115";3116;"Taiwan";"TWN";"Taiwan";"22/01/2020";"Healthcare and public health capacity";"Increase availability of PPE";"Face masks";"Increase production of masks";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3116";3117;"Taiwan";"TWN";"Taiwan";"25/02/2020";"Healthcare and public health capacity";"Increase availability of PPE";"Population can order online face masks through a rationing system";"";"";"https://www.cdc.gov.tw/En/Bulletin/List/7tUXjTBf6paRvrhEl-mrPg?page=21"
"3117";3118;"Taiwan";"TWN";"Taiwan";"23/02/2020";"Healthcare and public health capacity";"Increase healthcare workforce";"Travelling ban for healthcare professionals";"";"Wuhan";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3118";3119;"Taiwan";"TWN";"Taiwan";"24/02/2020";"Healthcare and public health capacity";"Increase healthcare workforce";"Travelling ban for healthcare professionals";"";"Outgoing travel ban to China, HK or Macau for health professionals";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3119";3120;"Taiwan";"TWN";"Taiwan";"24/01/2020";"Healthcare and public health capacity";"Increase availability of PPE";"Prohibition of export of protective personal equipment";"Surgical masks";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3120";3121;"Taiwan";"TWN";"Taiwan";"24/01/2020";"Healthcare and public health capacity";"Increase availability of PPE";"Prohibition of export of protective personal equipment";"Surgical masks: export ban extended";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3121";3122;"Taiwan";"TWN";"Taiwan";"24/01/2020";"Healthcare and public health capacity";"Enhance laboratory testing";"Increase testing capacity (number tests)";"Testing of COVID-19 to take place at Taiwan CDC or eight designated hospitals";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3122";3123;"Taiwan";"TWN";"Taiwan";"24/01/2020";"Healthcare and public health capacity";"Enhance laboratory testing";"Test cases and suspected cases";"Tour groups from Wuhan to depart Taiwan";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3123";3124;"Taiwan";"TWN";"Taiwan";"18/02/2020";"Case identification, contact tracing and related measures";"Enhance detection system";"All hospitals, clinics, and pharmacies have access to patients- travel histories";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3124";3125;"Taiwan";"TWN";"Taiwan";"27/01/2020";"Case identification, contact tracing and related measures";"Enhance detection system";"Including results for National Health Insurance Taiwan";"";"Date unsure";"https://www.cdc.gov.tw/File/Get/HAvRHGs_EjKeROHYmzWm5w"
"3125";3126;"Taiwan";"TWN";"Taiwan";"16/02/2020";"Case identification, contact tracing and related measures";"Enhance detection system";"Search for and/or monitor contacts";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3126";3127;"Taiwan";"TWN";"Taiwan";"19/02/2020";"Environmental measures";"Environmental cleaning and disinfection";"Educational institutes and transporations";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3127";3128;"Taiwan";"TWN";"Taiwan";"19/03/2020";"Case identification, contact tracing and related measures";"Quarantine";"Home quarantine for all incoming people";"";"";"https://www.cdc.gov.tw/En/Bulletin/List/7tUXjTBf6paRvrhEl-mrPg?page=17"
"3128";3129;"Taiwan";"TWN";"Taiwan";"05/01/2020";"Case identification, contact tracing and related measures";"Isolation of cases";"Quarantine and case reporting for people arriving from Wuhan with severe cases of pneumonia";"";"The Taiwan Centers for Disease Control (Taiwan CDC) pointed out that during the Ministry of Health and Welfare Infectious Disease Control and Prevention Advisory Committee: Division of Influenza Control and Prevention Meeting in Preparedness to Potential Influenza Outbreak during the Chinese New Year Holiday held on January 2, 2020, participating experts discussed the ongoing pneumonia outbreak in Wuhan, China. The experts recommended that in addition to the existing measure of onboard quarantine inspection, all healthcare facilities should reinforce case reporting of clinically severe cases of pneumonia among people who arrive in Taiwan from Wuhan, and all healthcare workers should strictly adhere to standard precautions for preventing nosocomial infection, wearing N95 respirators as required while performing invasive medical procedures such as intubation and tracheostomy.";"https://www.cdc.gov.tw/En/Bulletin/Detail/Dbg1J9leIDoxseqTHMiaxQ?typeid=158"
"3129";3130;"Taiwan";"TWN";"Taiwan";"27/01/2020";"Case identification, contact tracing and related measures";"Isolation of cases";"";"";"NHIA database with patients- past 14-day travel history was created";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3130";3131;"Taiwan";"TWN";"Taiwan";"25/02/2020";"Social distancing";"Mass gathering cancellation";"Place of worship";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3131";3132;"Taiwan";"TWN";"Taiwan";"08/02/2020";"Social distancing";"Mass gathering cancellation";"Sport events";"outdoor races";"list of marathon, iron man were cancelled";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3132";3133;"Taiwan";"TWN";"Taiwan";"30/01/2020";"Social distancing";"Mass gathering cancellation";"";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3133";3134;"Taiwan";"TWN";"Taiwan";"27/02/2020";"Case identification, contact tracing and related measures";"Quarantine";"All incomings from high-risk areas";"South Korea";"In response to the international spread of COVID-19, the CECC has listed China (including Hong Kong and Macao), South Korea, and Italy under travel notice Level 3: Warning; Japan, Singapore, and Iran under Level 2: Alert; and Thailand under Level 1: Watch. The CECC will continue to closely monitor outbreak developments and adjust its prevention strategy and travel notices as the situation requires.";"https://www.cdc.gov.tw/En/Bulletin/Detail/ZAMRoH02YNNzJusp0p_Wmw?typeid=158"
"3134";3135;"Taiwan";"TWN";"Taiwan";"24/02/2020";"Case identification, contact tracing and related measures";"Quarantine";"Quarantine People who travelled to China or high-risk areasall incoming foreigners from one country";"South Korea";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3135";3136;"Taiwan";"TWN";"Taiwan";"06/02/2020";"Resource allocation";"Rationing PPE for population";"Masks";"";"a new system for face mask rationing for population implemented";"https://www.taiwannews.com.tw/en/news/3872149"
"3136";3137;"Taiwan";"TWN";"Taiwan";"06/02/2020";"Case identification, contact tracing and related measures";"Enhance detection system";"Research and test of contacts";"Contacts traced for Diamond Princess cruise ship passengers who disembarked in Taiwan on Jan 31";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3137";3138;"Taiwan";"TWN";"Taiwan";"03/02/2020";"Risk communication";"Educate and actively communicate with the public";"Respiratory etiquette";"Promote the use of face mask";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3138";3139;"Taiwan";"TWN";"Taiwan";"22/02/2020";"Social distancing";"Return operation of nationals living in regions at risk";"Hubei";"Quarantine";"Taiwanese nationals from cruise ship Diamond Princess";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3139";3140;"Taiwan";"TWN";"Taiwan";"10/03/2020";"Social distancing";"Return operation of nationals living in regions at risk";"Hubei";"Quarantine";"";"https://www.cdc.gov.tw/En/Bulletin/List/7tUXjTBf6paRvrhEl-mrPg?page=9"
"3140";3141;"Taiwan";"TWN";"Taiwan";"11/03/2020";"Social distancing";"Return operation of nationals living in regions at risk";"Hubei";"Quarantine";"";"https://www.cdc.gov.tw/En/Bulletin/List/7tUXjTBf6paRvrhEl-mrPg?page=10"
"3141";3142;"Taiwan";"TWN";"Taiwan";"13/02/2020";"Social distancing";"Return operation of nationals living in regions at risk";"MS Westerdam";"Quarantine";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3142";3143;"Taiwan";"TWN";"Taiwan";"31/01/2020";"Healthcare and public health capacity";"Increase availability of PPE";"Face masks";"Surgical masks: requisition";"Government requisitions surgical masks from Jan 31 to Feb 15";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
