,Measure_L1,Measure_L2,Measure_L3,Measure_L4
3063,Risk communication,Travel alert,China (except Hubei province): Level 2 travel alert,
3064,Risk communication,Travel alert,"Egypt Level 2 Travel Warning , 14 days self-health management upon arrival in Taiwan",
3065,Risk communication,Travel alert,Guangdong Province: Level 2 travel alert,
3066,Risk communication,Travel alert,"Hong Kong and Macau: Level 3 travel alert, 14 days Quarantine upon arrival in Taiwan",
3067,Risk communication,Travel alert,Hubei province: Level 3 travel alert,
3068,Risk communication,Travel alert,"Iran Level 2 Travel warning , 14 days self-health management upon arrival in Taiwan",
3069,Risk communication,Travel alert,"Iran Level 3 Travel Warning, Avoid all nonessential travels, 14 days Quarantine upon arrival in Taiwan",
3070,Risk communication,Travel alert,"Italy Level 3 Travel Warning, Avoid all nonessential travels, 14 days Quarantine upon arrival in Taiwan",
3071,Risk communication,Travel alert,"Italy, Iran: Level 1 travel alert",
3072,Risk communication,Travel alert,Japan: Level 2 travel alert,
3073,Risk communication,Travel alert,"Singapore: Level 2 travel alert, 14 days Quarantine upon arrival in Taiwan",
3074,Risk communication,Travel alert,South Korea: Level 1 travel alert,
3075,Risk communication,Travel alert,South Korea: Level 2 travel alert,
3076,Risk communication,Travel alert,"South Korea: Level 3 travel alert, avoid all non-essential travel",
3077,Risk communication,Travel alert,Thailand: Level 1 travel alert,
3078,Risk communication,Travel alert,Travel warning issued to most of the developed coutries in the world,
3079,Risk communication,Travel alert,Warning against travel to and return from risk areas,"France, Spain, German Level 2 Travel Warning . 14 days self-health management upon arrival in Taiwan"
3080,Risk communication,Travel alert,"Washington, New York, and California, Level 2 Travel Warning, Avoid all nonessential travels, 14 days self-health management upon arrival in Taiwan",
3081,Risk communication,Travel alert,Wenzhou city: Level 2 travel alert,
3082,Risk communication,Travel alert,Wuhan: Level 2 travel alert,
3083,Risk communication,Travel alert,Wuhan: Level 3 travel alert,
3084,Risk communication,Travel alert,Zhejiang province: Level 2 travel alert,
3085,Travel restriction,Travel restriction to high-risk areas,Cancellation of international flights,
3086,Travel restriction,Travel restriction to high-risk areas,China,Tours to China suspended until Jan 31
3087,Travel restriction,Travel restriction to high-risk areas,China,
3088,Travel restriction,Travel restriction to high-risk areas,Hong Kong and Macau,Tours to Hong Kong and Macau suspended until Feb 29
3089,Travel restriction,Travel restriction to high-risk areas,Hong Kong and Macau,
3091,Social distancing,Mandatory use of masks,In public transports,
3092,"Case identification, contact tracing and related measures",Enhance detection system,Self-screening of the temperature,
3093,Travel restriction,Airport restriction,No boarding from Taiwan,until April 7
3096,Social distancing,Return operation of nationals living abroad,Shangai,
3099,Risk communication,Educate and actively communicate with the public,Promote the 1m distance,Outdoor
3101,Resource allocation,Provide international help,Donate face masks to other countries,
3102,"Case identification, contact tracing and related measures",Enhance detection system,Measure temperature before accessing public servive,"Public transports, post offices"
3103,Travel restriction,Airport restriction,No boarding from Taiwan,extended to April 30
3104,"Case identification, contact tracing and related measures",Airport health check,Health screening,Special management of incomings with symptoms
3105,Social distancing,Mandatory use of masks,Taxi and Uber,
