"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"3120","Case identification, contact tracing and related measures","Border health check","Health certificate requested","Health certificate for travellers from China"
"3121","Case identification, contact tracing and related measures","Border health check","Health certificate requested","Health certificate for all travellers"
"3124","Travel restriction","Border restriction","Force departure of Chinese nationals","Tour groups from Wuhan to depart Taiwan"
"3125","Travel restriction","Border restriction","Force departure of Chinese nationals","Tour groups from Hubei to depart Taiwan"
"3127","Travel restriction","Border restriction","Entry ban to non-citizens","only exceptional cases allowed"
"3128","Travel restriction","Border restriction","Entry ban for people from China","Hong kong and Macau residents"
"3129","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","MS Westerdam"
"3130","Social distancing","Closure of educational institutions","Closure of kindergartens",""
"3132","Social distancing","Closure of educational institutions","Closure of universities, research institutions",""
"3134","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers","All international cruise ships"
"3135","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers","With history of travel to China, Hong Kong, or Macau"
"3136","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers","With suspected cases or from China"
"3138","Risk communication","Educate and actively communicate with the public","Communication via government official site",""
"3139","Risk communication","Educate and actively communicate with the public","Communication via social media",""
"3140","Risk communication","Educate and actively communicate with the public","Communication via TV, radio",""
"3146","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Self-health management after returning from countries with level 1 and 2 warning"
"3147","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","all countries raised at level 3 Travel warning, 14 days home quarantine upon arrival in Taiwan"
